lead_id,advisor_crd,contacted_date,target,total_jobs,days_since_last_move,current_tenure_days,avg_prior_tenure_days,prior_job_tenure_days,second_prior_job_tenure_days,moves_3yr_verified,tenure_decay_ratio,move_acceleration_ratio,recency_tier
00QVS0000082ZMp2AM,6389341,2024-06-18,0,3,2973,,196.33333333333334,28,533,0,,0.05,Distant (> 2yr)
00QVS0000082ZNA2A2,5626509,2024-06-18,0,3,3546,3742,2009.0,1985,2033,0,1.86,0.98,Distant (> 2yr)
00QVS0000082ZNB2A2,5796375,2024-06-18,0,3,3546,3742,1334.0,1184,1484,0,2.81,0.8,Distant (> 2yr)
00QVS0000082ZND2A2,6163577,2024-06-18,0,3,3546,3742,402.5,360,445,0,9.3,0.81,Distant (> 2yr)
00QVS0000082ZNE2A2,6190849,2024-06-18,0,3,3546,,1032.6666666666667,347,477,0,,0.73,Distant (> 2yr)
00QVS0000082ZNI2A2,6090493,2024-06-18,0,3,3546,,848.0,682,771,0,,0.88,Distant (> 2yr)
00QVS0000082ZNu2AM,5427850,2024-06-18,0,3,3624,,756.3333333333333,339,1591,0,,0.21,Distant (> 2yr)
00QVS0000084KBe2AM,6145521,2024-06-28,0,3,1095,1301,1693.5,483,2904,2,0.77,0.17,Distant (> 2yr)
00QVS0000084NFy2AM,6327640,2024-06-18,1,3,2412,,514.6666666666667,163,1218,0,,0.13,Distant (> 2yr)
00QVS0000084Ty62AE,5752806,2024-06-21,1,3,-35,5180,,4062,5180,0,,0.78,Very Recent (< 6mo)
00QVS0000086wEQ2AY,6962053,2024-06-28,0,3,-357,2122,,2094,2122,0,,0.99,Very Recent (< 6mo)
00QVS00000872Nq2AI,6264414,2024-06-24,0,3,2923,,901.3333333333334,890,924,0,,0.96,Distant (> 2yr)
00QVS00000872O12AI,6906498,2024-06-24,0,3,1711,1879,627.0,627,627,0,3.0,1.0,Distant (> 2yr)
00QVS00000872O62AI,6353257,2024-06-24,0,3,3135,3299,144.0,141,147,0,22.91,0.96,Distant (> 2yr)
00QVS00000872OM2AY,6401400,2024-06-24,0,3,-156,1800,1344.0,1800,1344,0,1.34,1.34,Very Recent (< 6mo)
00QVS00000872OS2AY,5509270,2024-06-24,0,3,4407,,1180.6666666666667,1018,1506,0,,0.68,Distant (> 2yr)
00QVS00000872Oc2AI,6032012,2024-06-25,0,3,1209,,1093.3333333333333,36,3208,0,,0.01,Distant (> 2yr)
00QVS00000872PC2AY,5741616,2024-09-03,0,3,1952,2209,3390.5,3388,3393,0,0.65,1.0,Distant (> 2yr)
00QVS00000872PD2AY,6057454,2024-06-24,0,3,1881,2209,2476.0,2462,2490,0,0.89,0.99,Distant (> 2yr)
00QVS00000872PK2AY,5987516,2024-06-25,0,3,2854,,420.6666666666667,388,486,0,,0.8,Distant (> 2yr)
00QVS00000872PR2AY,6265557,2024-06-25,0,3,2926,,468.0,480,441,0,,1.09,Distant (> 2yr)
00QVS00000872Pi2AI,4873840,2024-06-24,0,3,1117,,5185.666666666667,4956,5645,0,,0.88,Distant (> 2yr)
00QVS00000872gR2AQ,6163989,2024-06-27,0,3,44,,4000.6666666666665,3990,4022,3,,0.99,Very Recent (< 6mo)
00QVS00000873B62AI,6046437,2024-06-28,0,3,2957,,1255.0,1202,1361,0,,0.88,Distant (> 2yr)
00QVS00000873Ny2AI,6286876,2024-06-19,0,3,-467,3049,,2975,3049,0,,0.98,Very Recent (< 6mo)
00QVS00000877Un2AI,6766372,2024-06-24,1,3,361,,1249.3333333333333,1548,715,2,,2.17,Recent (6-12mo)
00QVS000008BDEB2A4,4677618,2024-06-23,0,3,2378,,1461.3333333333333,1280,1857,0,,0.69,Distant (> 2yr)
00QVS000008BDEO2A4,4627990,2024-06-23,0,3,1213,,1274.0,1274,1274,0,,1.0,Distant (> 2yr)
00QVS000008BDER2A4,3207911,2024-06-22,0,3,1081,,851.3333333333334,1077,420,2,,2.56,Distant (> 2yr)
00QVS000008BDEU2A4,7009583,2024-06-21,0,3,1660,,384.0,374,404,0,,0.93,Distant (> 2yr)
00QVS000008BDEa2AO,6699136,2024-06-23,0,3,1306,,1474.3333333333333,1465,1493,0,,0.98,Distant (> 2yr)
00QVS000008BDEm2AO,6475776,2024-06-21,0,3,2645,,238.0,383,238,0,,1.61,Distant (> 2yr)
00QVS000008BDEp2AO,6490945,2024-06-24,0,3,2301,,593.3333333333334,617,862,0,,0.72,Distant (> 2yr)
00QVS000008BDEv2AO,4819260,2024-06-23,0,3,2743,,2709.6666666666665,4466,1094,1,,4.08,Distant (> 2yr)
00QVS000008BDEz2AO,6269967,2024-06-23,0,3,1707,2092,227.0,202,252,0,9.22,0.8,Distant (> 2yr)
00QVS000008BDF62AO,6062864,2024-06-23,0,3,2537,,495.3333333333333,244,1102,0,,0.22,Distant (> 2yr)
00QVS000008BDFF2A4,7135971,2024-06-24,0,3,-87,1490,52.0,1490,52,0,28.65,28.65,Very Recent (< 6mo)
